,"en","es","de","it","ja","ko"
"SYS_WARN_TRANSLATION","Use [F4] to switch language anytime","Texto traducido automáticamente
Translations are provided only for testing purpose
press [F4] to roll back to english.
","Maschinenübersetzter Text
Translations are provided only for testing purpose
press [F4] to roll back to english.","testo tradotto a macchina
Translations are provided only for testing purpose
press [F4] to roll back to english.","機械翻訳されたテキスト!
Translations are provided only for testing purpose
press [F4] to roll back to english.","기계 번역 된 텍스트
Translations are provided only for testing purpose
press [F4] to roll back to english."
"KEY_HELLO","Hello!","Hola!","hellode","helloit","こんにちは","kelloko"
"KEY_PUSH","Push Me!","Aprétame!","pusde","pusit","押す","pusko"
"INTRO_COL_RED","Red","Rojo","Rot","Rosso","赤い","빨간"
"INTRO_COL_GREEN","Green","Verde","Grün","Verde","緑","녹색"
"INTRO_COL_BLUE","Blue","Azul","Blau","Blu","青い","파란"
"INTRO_NY_INFO","Nymph will connect to server hosted  by satyr. Multiple nymphs can connect to a single server","La ninfas se conectará al servidor alojado por satyr. Múltiples ninfas pueden conectarse a un solo servidor","Nymphe verbindet sich mit dem Server von satyr. Mehrere Nymphen können sich mit einem Server verbinden","La ninfa può connettersi ad un server ospitato da satyr. Più ninfe possono essere ospitate in un singolo server","ニュンペーはサテュロスが催したサーバーに接続する。 多数のニュンペーは単一サーバーに接続できる","님프는 사티로스에 의해 호스팅 서버에 연결 됩니다. 여러 님프는 단일 서버에 연결할 수 있습니다"
"INTRO_SA_INFO","Satyr set up the server and will provide the IP address to connect, thus can be only one satyr per server","Satyr configura el servidor y proporciona la dirección IP para conectarse, por lo que sólo puede ser un sátiro por servidor","Satyr richten Sie den Server ein und wird die IP-Adresse angeben, um eine Verbindung herzustellen, so kann nur ein satyr pro Server sein","Il satiro crerà il server e fornirà l' indirizzo IP per connettersi, per questo potrà esserci un solo satiro per server","サテュロスはサーバーをセットアップし、他のプレーヤーにIPアドレスを渡します。 サーバーあたり1つのサテュロスのみ","사티로스는 서버를 설정 하 고 연결할 IP 주소를 제공 합니다, 서버당 하나의 사티로스 수 있습니다"
"CON_NAME","Name:","Nombre:","Name:","Nome:","名：","이름:"
"CON_IP","IP:","IP:","IP:","IP:","IP:","IP:"
"CON_HOST","Host","Alojar","Spiel hosten","Ospita","ホスト","호스트"
"CON_JOIN","Join","Unirse","Teilzunehmen","Unisciti","接続","참가하다"
"CON_CHANGE","Switch Class","Cambiar clase","Art ändern","Muta classe","種類変更","종류 변경"
